;Kruskal;BFS;A-Star;IDA;path Length
753;29550;21943;14336;9362;86
754;102107;28672;15213;9948;74
755;28380;27502;11118;10825;66
756;28965;28086;23406;33939;94
757;29842;24576;16676;9070;78
758;28672;28672;15214;11118;94
759;28672;28672;9070;4096;70
760;27502;28087;16091;8484;78
761;28087;28672;20480;11118;94
762;29257;24576;15799;38034;114
763;29550;27501;18432;9947;66
764;28087;28965;14043;6729;90
765;28086;28379;12288;5559;82
766;27794;23113;10825;6144;66
767;27501;18724;12873;7022;74
768;27794;29842;26624;30720;102
769;28672;28672;19309;11410;82
770;28087;25161;20480;8192;78
771;28087;26917;19602;42716;90
772;28379;29842;11410;10240;70
773;27502;29257;17262;11118;102
774;28087;24283;15507;34231;102
775;27794;29257;21943;59685;110
776;27502;27209;11410;5266;70
777;27502;21650;10240;6729;74
778;27502;26917;13459;7315;86
779;28379;18140;10532;5266;66
780;27502;17847;12288;5559;78
781;28087;18140;13458;9070;74
782;28379;26916;12581;6436;70
783;28087;28672;20773;9655;70
784;27794;17262;9655;4388;70
785;28379;26916;10240;4974;70
786;27795;25161;10532;4974;78
787;27209;24869;18432;8484;62
788;27209;25453;14921;5558;66
789;27795;26624;19603;11703;82
790;28379;31012;31597;74313;90
791;27501;28672;13165;7022;78
792;27209;23699;15214;9948;86
793;27794;28379;13166;7022;74
794;28087;26917;10825;4974;78
795;27209;22528;16384;12873;98
796;28087;23405;19017;9070;74
797;27795;16969;11995;9070;78
798;27795;33646;19895;8192;90
799;28965;29257;14628;8192;82
800;29257;29842;31598;69340;106
801;30135;24869;14044;8192;62
802;29257;21065;14044;6144;78
803;28379;29257;18140;45056;110
804;28087;22820;14336;27209;102
805;28380;26331;23406;41837;94
806;28086;27794;19310;12873;86
807;27501;23405;23991;13166;78
808;27794;24576;31891;26916;82
809;27794;29549;11996;9947;78
810;27502;26624;10826;7900;66
811;27794;25746;18724;19309;94
812;27502;22528;14044;6437;62
813;27794;28087;11118;7022;86
814;27794;23113;11118;5851;66
815;27794;26624;14921;17554;90
816;27209;26039;13751;13458;78
817;27502;27502;8778;8484;62
818;28087;23113;14628;4974;62
819;27794;22235;11117;5559;78
820;27795;27794;22528;84845;118
821;28087;24284;16092;7606;86
822;27794;28380;16969;55881;106
823;28672;27209;21943;26331;90
824;28964;26916;13458;6729;78
825;28086;67292;17554;9947;58
826;28965;25161;19895;7606;70
827;28379;23991;8484;4681;62
828;27794;19310;9948;4681;70
829;27502;23406;18139;9947;74
830;27502;26332;16092;11410;70
831;27209;18139;9947;4388;70
832;27502;18725;7314;3804;58
833;27501;21065;15213;8485;82
834;28087;26917;15799;7022;90
835;28086;25161;26624;9655;82
836;33646;26331;15213;5852;78
837;29258;25746;22528;17262;94
838;29258;22820;8484;7899;58
839;28380;28672;13459;7021;66
840;29257;30428;22236;95671;122
841;29550;27501;15214;7314;78
842;63781;26624;23698;55004;106
843;29257;22528;16677;25161;86
844;28672;29549;21358;25454;94
845;29550;19602;11703;8778;58
846;28379;29550;23698;29257;98
847;28672;21943;12580;7607;62
848;28087;26331;20187;16384;90
849;27795;27501;22528;11118;74
850;28380;26916;12580;6144;78
851;28087;23406;17262;5851;78
852;27794;17847;10240;4681;74
853;28087;26624;12288;7607;86
854;27795;23698;8485;3511;62
855;28672;17555;11996;7607;86
856;27794;28672;32768;28965;94
857;28672;23698;13459;5559;82
858;27795;29550;32768;115273;138
859;27502;22528;12580;6144;70
860;27795;18725;13751;7899;70
861;27501;26038;10825;5852;74
862;28380;27209;18140;18724;86
863;28087;25747;12288;9947;66
864;27795;26039;15506;19603;90
865;28087;20480;13458;7022;66
866;27209;28087;11995;5852;74
867;27794;34816;14628;14628;86
868;29257;23991;11995;6437;66
