345;351379;213577;135168;198071;312
346;288476;265363;72851;91867;352
347;291108;281162;425107;461093;368
348;294912;222939;154478;1717102;392
349;291109;217965;156233;1235236;376
350;289645;224109;59392;25161;276
351;289061;261266;186661;798721;360
352;289939;252782;171740;4058552;440
353;293742;274725;130194;1510839;356
354;293157;251026;172032;51492;304
355;288768;258633;238154;5347622;444
356;292864;263899;100352;52370;352
357;288768;260974;78994;200119;304
358;338505;264485;157403;2885340;448
359;291694;269459;113810;4379502;420
360;289646;233765;51785;60270;252
361;289646;258926;88649;42131;328
362;287891;212992;75483;276187;292
363;300763;268873;136924;4120577;440
364;291109;191049;65243;54711;288
365;288768;254537;143652;164132;332
366;287013;251612;177298;1892645;344
367;294034;273554;214455;8853799;536
368;294620;235520;95964;2471059;424
369;291987;171154;84846;42130;284
370;290816;159451;116151;68169;292
371;289646;287305;245175;6715686;520
372;293741;228205;69632;73435;268
373;289646;262729;126391;36571;348
374;287598;272092;248686;6974319;508
375;400530;197779;119954;126099;308
376;287598;184027;104155;65829;352
377;289061;206848;63195;80750;356
378;287013;265362;89820;57344;344
379;302226;278235;227620;3036015;436
380;292279;198948;123173;3580197;452
381;293157;194852;55296;38912;288
382;288768;256292;98889;62318;360
383;289353;260973;138972;2804590;464
384;294034;269751;240493;2705994;368
385;303397;256293;188123;844946;372
386;294619;237568;184027;1675265;428
387;292572;207726;161792;58514;360
388;287305;191927;119077;91867;284
389;289061;267995;190757;314807;332
390;302811;268288;130486;53541;300
391;287598;272677;84553;3176449;412
392;291694;199241;160622;1611484;360
393;293741;263900;216503;219721;356
394;287891;223817;43300;22235;260
395;288475;264192;131072;860453;348
396;293156;271506;197779;2134602;368
397;303104;263022;143360;82798;360
398;288768;265363;131072;315977;340
399;298715;278821;124928;99767;308
400;289646;245760;109714;1150976;380
401;288475;234350;165596;2582236;436
402;291108;272676;163840;768878;364
403;300178;280576;181980;794624;348
404;287890;275895;88064;59977;368
405;868352;290523;182565;6372207;496
406;290230;225280;50907;57344;248
407;305152;247515;247223;82505;308
408;298130;238738;180809;83676;316
409;288183;268288;144238;2365440;396
410;291694;204215;101229;69047;304
411;286135;270922;242249;1638107;384
412;287305;260681;69340;53248;300
413;290524;269751;207434;612352;356
414;287598;247223;170569;373613;332
415;287890;260974;127561;4171192;468
416;292278;248978;91575;522826;380
417;287305;236691;104155;38034;328
418;288768;268873;125513;120247;352
419;287598;224695;95963;60855;252
420;289060;234642;64073;82505;296
421;314807;254830;78409;42423;336
422;287890;289061;117907;64951;348
423;290816;270921;67877;45056;316
424;307785;198364;147748;83091;356
425;308955;243419;63488;47397;296
426;377417;325047;139849;57344;324
427;291109;265362;89234;56466;300
428;303982;264485;129901;2680833;416
429;303396;227621;81042;282039;352
430;301056;267118;217673;7030785;500
431;300764;272385;246637;1349047;392
432;288768;244004;169107;1227045;384
433;287013;264192;118491;963145;364
434;297253;190171;79579;42715;280
435;300763;224109;88649;35694;272
436;303982;216503;165303;297837;332
437;286427;238153;80750;1213586;388
438;289646;254537;120247;653020;352
439;290816;250149;112933;43593;288
440;328558;272091;260096;5910822;444
441;338213;296960;107959;121417;304
442;304275;239909;63488;31305;296
443;286134;264777;237568;60270;308
444;301056;280576;70217;56759;328
445;288183;205093;67584;59977;312
446;288768;261559;207434;1780590;344
447;304274;277066;198071;249856;348
448;289353;332654;153015;1358116;404
449;290816;255415;108544;637513;380
450;290816;239908;126684;976603;388
451;301641;284379;210944;2934199;400
452;290231;228499;102107;1014345;408
453;305445;276480;123172;55588;280
454;318025;210359;101522;57636;332
455;288475;267996;84846;30135;296
456;287598;255415;214747;89819;304
457;288183;266825;110592;1882990;412
458;288183;241957;193975;93916;304
459;290816;214747;80749;45641;324
