;Prim;BFS;A-Star;IDA;path Length
501;21357;30428;14921;9655;62
502;21065;30135;12580;5266;58
503;23113;31013;29257;11996;86
504;21358;30427;19017;11118;58
505;20480;21943;12288;4973;66
506;20480;21943;10532;5852;62
507;21358;26039;16384;6144;66
508;21651;30427;14043;8484;62
509;21651;24284;13751;6144;82
510;20480;28965;21357;8192;58
511;21358;18724;11118;12873;62
512;20480;31305;10240;7607;62
513;21358;29550;27209;13458;62
514;21358;29842;12580;8777;62
515;20773;29842;16384;11118;58
516;22821;30427;13459;5267;58
517;21065;25454;14044;4388;62
518;20773;29843;10240;6729;70
519;21358;28379;11995;4682;66
520;20480;27209;12581;5852;66
521;20188;23406;9947;5266;62
522;19894;25162;11703;6144;62
523;21650;30135;10240;2926;66
524;20772;16676;10240;3219;62
525;20773;13458;9363;3803;62
526;20187;27210;12581;4681;58
527;21065;29257;16969;7899;86
528;20480;28379;9947;8484;62
529;21357;29257;25161;11702;62
530;21358;30428;22528;10240;66
531;21943;29843;20772;9947;58
532;20187;19602;10240;4974;58
533;21357;28965;11703;5559;58
534;21065;19602;11118;8192;62
535;20480;28087;14628;9070;78
536;21650;25161;9655;4974;58
537;20480;26039;18140;8192;70
538;21065;27502;11996;4389;70
539;21065;28380;19309;8777;66
540;21650;28379;9655;2926;58
541;21065;24869;17554;8192;62
542;19895;28672;16384;7899;74
543;20772;29257;14336;9070;66
544;21650;29550;14921;6144;58
545;23113;25746;15507;6437;66
546;22821;20187;12873;4974;70
547;21358;27795;11703;4682;62
548;21358;21358;13458;6436;66
549;20773;26917;12580;4973;66
550;20187;29257;22236;9655;70
551;21065;29257;18432;10826;62
552;20187;30427;27209;12288;62
553;21357;23406;10825;7900;58
554;21357;24869;16092;4389;66
555;20773;21066;10533;4096;62
556;20187;25454;14043;5267;66
557;23698;31012;27501;14628;70
558;25747;32768;25161;10826;62
559;23406;29843;20480;7022;62
560;21650;32475;17847;11703;78
561;22236;30135;25161;11410;58
562;20480;23991;9947;2926;62
563;21065;28965;18725;8485;58
564;21065;28964;13166;7899;58
565;21942;30428;15799;4681;70
566;20772;26331;18725;6437;66
567;21066;24868;12580;4389;70
568;21357;29550;19018;7314;66
569;21066;23991;19895;7606;74
570;20772;20773;11410;5267;66
571;21065;29550;14921;5266;58
572;20480;27794;16677;7607;58
573;21358;28672;18139;5851;70
574;20187;15799;11703;3511;66
575;21650;28379;13751;10532;58
576;20187;29842;13459;5559;58
577;21065;26624;12288;7899;62
578;20772;29258;18725;7900;66
579;28380;19602;10240;7900;58
580;21065;22235;11118;3218;58
581;21650;26039;10533;3803;58
582;21065;24869;10533;7021;58
583;22528;30135;21358;8485;74
584;21650;29550;24868;11118;62
585;21065;30135;27502;25454;78
586;23405;33061;18139;5559;62
587;20773;30720;23699;9655;66
